_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6703633e3b43e6c05d89a30d,,187.16,100,187.16,66.52,53;0;0;0,words,10,-1,6,3.4,0,5.17,false,false,english,none,normal,false,false,false,,1728275262000
670363013b43e6c05d89a0dc,,147.84,86.67,190.07,82.97,35;4;0;0,words,10,-1,4,2.84,0,8.13,false,false,english,none,normal,false,false,false,,1728275201000
670361b73b43e6c05d899488,,168.55,100,168.55,84.97,53;0;0;0,words,10,-1,10,3.77,0,24.75,false,false,english,none,normal,false,false,false,,1728274871000
67002dd33b43e6c05d6c2b5c,,158.86,100,158.86,67.18,46;0;0;0,words,10,-1,9,3.47,0,12.97,false,false,english,none,normal,false,false,false,,1728064979000
67001ff53b43e6c05d6b383f,,146.99,96.67,146.99,72.36,58;0;0;0,words,10,-1,1,4.73,0,0.5,false,false,english,none,normal,false,false,false,,1728061428000
67001fed3b43e6c05d6b37b5,,142.47,93.88,155.14,90.69,45;2;0;0,words,10,-1,5,3.79,0,5.7,false,false,english,none,normal,false,false,false,,1728061421000
67001fdc3b43e6c05d6b368f,,166.3,100,166.3,93.97,49;0;0;0,words,10,-1,1,3.54,0,0.55,false,false,english,none,normal,false,false,false,,1728061404000
67001fd63b43e6c05d6b3629,,137.63,93.75,157.29,87.86,42;1;1;0,words,10,-1,0,3.66,0,0,false,false,english,none,normal,false,false,false,,1728061398000
67001f0d3b43e6c05d6b2859,,150.54,96.23,150.54,51.39,51;0;0;0,words,10,-1,4,4.07,0,5.11,false,false,english,none,normal,false,false,false,,1728061197000
67001efe3b43e6c05d6b2734,,134.21,96.08,134.21,61.1,49;0;0;0,words,10,-1,1,4.38,0,1.89,false,false,english,none,normal,false,false,false,,1728061182000
67001ef63b43e6c05d6b269d,,163.28,100,163.28,84.73,53;0;0;0,words,10,-1,0,3.9,0,0,false,false,english,none,normal,false,false,false,,1728061174000
67001ef13b43e6c05d6b264c,,166.58,100,166.58,71.54,47;0;0;0,words,10,-1,2,3.39,0,2.04,false,false,english,none,normal,false,false,false,,1728061169000
67001b7b3b43e6c05d6ae769,,136.4,89.66,168.33,57.94,47;4;0;1,words,10,-1,1,4.13,0,1.72,false,false,english,none,normal,false,false,false,,1728060283000
67001b733b43e6c05d6ae6e6,,123.68,100,123.68,77.06,51;0;0;0,words,10,-1,1,4.95,0,0.7,false,false,english,none,normal,false,false,false,,1728060275000
67001b6c3b43e6c05d6ae66a,,145.72,98.15,145.72,66.16,53;0;0;0,words,10,-1,1,4.36,0,0.73,false,false,english,none,normal,false,false,false,,1728060268000
67001b653b43e6c05d6ae5f4,,179.64,100,179.64,89.25,54;0;0;0,words,10,-1,0,3.61,0,0,false,false,english,none,normal,false,false,false,,1728060261000
67001b603b43e6c05d6ae596,,148.09,100,148.09,91.24,46;0;0;0,words,10,-1,1,3.73,0,0.68,false,false,english,none,normal,false,false,false,,1728060256000
66ff64ac3b43e6c05d61bfe9,,190.71,100,190.71,86.9,47;0;0;0,words,10,-1,5,2.96,0,4.38,false,false,english,none,normal,false,false,false,,1728013484000
66ff64a03b43e6c05d61bf73,,176.84,96.55,176.84,79.45,56;0;0;0,words,10,-1,8,3.8,0,11.4,false,false,english,none,normal,false,false,false,,1728013472000
66ff648a3b43e6c05d61be98,,113.91,94.12,113.91,47.45,61;0;0;0,words,10,-1,1,6.43,0,0.74,false,false,english,none,normal,false,false,false,,1728013450000
66ff64653b43e6c05d61bd41,,171.97,100,171.97,74.59,49;0;0;0,words,10,-1,0,3.42,0,0,false,false,english,none,normal,false,false,false,,1728013413000
66ff62e83b43e6c05d61afd1,,165.33,100,165.33,93.97,52;0;0;0,words,10,-1,4,3.77,0,4.35,false,false,english,none,normal,false,false,false,,1728013032000
66ff62dc3b43e6c05d61af50,,176.41,100,176.41,77.56,51;0;0;0,words,10,-1,10,3.47,0,15.56,false,false,english,none,normal,false,false,false,,1728013020000
66fda6bb3b43e6c05d4e022e,,151.75,100,151.75,87.34,49;0;0;0,words,10,-1,3,3.87,0,1.91,false,false,english,none,normal,false,false,false,,1727899323000
66fd9f6c3b43e6c05d4d9da6,true,115.4,91.22,126.2,69.22,1154;32;7;4,time,120,-1,2,120,0,2.25,false,false,english,none,normal,false,false,false,,1727897452000
66fd9ec83b43e6c05d4d9490,,171.07,94,194.39,49.36,44;2;0;0,words,10,-1,0,3.09,0,0,false,false,english,none,normal,false,false,false,,1727897288000
